id,question,answer,category,source
10,Como as anuidades ganham dinheiro?,"Existem três tipos básicos de métodos de crédito para anuidades diferidas não qualificadas: crédito de taxa de juros fixa, crédito de índices e subcontas separadas usando investimentos em ações e títulos. Os métodos de crédito de taxa de juros fixa e de crédito de índices são usados ​​em produtos de poupança não relacionados a títulos. Subcontas separadas que utilizam investimentos em ações e títulos podem creditar ou debitar uma anuidade variável, que é um produto de investimento em títulos, com base no seu desempenho no mercado. Anuidades variáveis ​​podem gerar perda de dinheiro.",geral,insurance_qa_v2
11,O que é um plano de aposentadoria qualificado?,"Um plano qualificado é geralmente um plano de aposentadoria sancionado pelo governo que oferece algum tipo de vantagem fiscal. Ao abrigo da ERISA, a Lei de Segurança do Rendimento de Aposentação dos Empregados de 1974, os planos de contribuição definida tornaram-se muito populares, especialmente os 40 -LRB-k-RRB-s patrocinados pelos empregadores. As contribuições antes dos impostos acumulam impostos diferidos e podem acumular impostos diferidos até os 70 anos e meio de idade, quando as distribuições mínimas obrigatórias são geradas .",geral,insurance_qa_v2
12,O que acontece quando você registra uma reclamação de seguro residencial?,"Quando você precisar registrar uma reivindicação de seguro residencial, a maneira melhor e mais rápida de lidar com isso é ligar para o número de telefone da CLAIMS listado na página de declarações do seguro residencial. A maioria das operadoras tem uma linha de comunicação 24 horas para reclamações; a estação conta com uma pessoa treinada para receber um relatório inicial e repassá-lo ao avaliador de sinistros designado com base no tipo de sinistro e na localização geográfica da perda. Uma vez obtido o relatório preliminar, é atribuído um número de sinistro, é atribuído um avaliador e o registo preliminar é reportado à Base de Dados Nacional também conhecida como CLUE; CLUE é uma ferramenta usada em todo o setor para revisar atividades de sinistros anteriores em residências. O relatório CLUE será atualizado posteriormente, mostrando o Status de Fechado e o valor total pago pela seguradora para resolver o sinistro. Ao fazer o relatório inicial do sinistro, é benéfico oferecer apenas uma explicação simples e geral da natureza da perda; é sempre melhor fornecer todos os detalhes diretamente ao avaliador de sinistros, pois o relatório inicial de sinistros geralmente não é feito por uma pessoa licenciada e treinada com os recursos do avaliador de seguros. Na maioria dos casos, a seguradora designará um avaliador que fará um contato inicial dentro de 1 dia útil. O avaliador marcará uma reunião para analisar os danos reclamados, uma estimativa detalhada dos reparos necessários será preparada e o avaliador interpretará a apólice para determinar se e em que medida a cobertura se aplica aos danos sofridos; o processo final será uma carta de resolução enviada ao segurado com um relato completo da situação e talvez um cheque associado para reparos. Em alguns casos, um pagamento inicial pode ser oferecido retendo a parte depreciada da perda até que os danos ou itens sejam substituídos, após o que a transportadora reembolsará o segurado pelo custo total de reposição dos itens, desde que a apólice cubra tudo com base no custo de reposição. Quaisquer questões específicas relativas a uma perda devem ser discutidas diretamente com o perito de sinistros, que é licenciado e responsável por lidar com a transação completa e explicar o processo ao segurado. Antes de ocorrer qualquer sinistro, também pode ser uma boa idéia entrar em contato com um representante de seguros licenciado para aprender o processo e o melhor método recomendado para lidar com a situação, caso você encontre um sinistro.",geral,insurance_qa_v2
13,Como ter um cachorro afeta o seguro residencial?,"Essa é uma ótima pergunta! A resposta é não, se o seu cão foi treinado profissionalmente, não é uma raça conhecida pela violência e você nunca recebeu uma reclamação por causa dele ou dela. A resposta é sim, se você tiver um cão que se enquadre na categoria especificada pela sua empresa para cães em risco de reclamações por mordidas. Ou pior, se você fizer uma reclamação porque seu cachorro mordeu alguém. É sempre uma boa ideia ligar para o seu agente antes de comprar o cão e descobrir se o cão pode ser coberto e até que ponto. Espero que isso ajude. Obrigado por perguntar!",geral,insurance_qa_v2
14,"Meu carro novo foi demolido em um acidente que foi culpa de outra pessoa, eu só tive o carro por três meses, receberei de volta o que paguei por ele há três meses?","O seguro de outros motoristas irá indenizá-lo por sua perda na medida da cobertura da apólice de outros motoristas. Se eles tiverem um limite de danos materiais de US$ 25.000 e seu carro valer US$ 50.000, sua recuperação será difícil. Seu limite de motorista com seguro insuficiente se tornará um fator importante. Nas melhores circunstâncias, o avaliador terá que fazê-lo feliz. Você poderia entrar com uma ação judicial e poderia vencer. As companhias de seguros não gostam de ser processadas.",geral,insurance_qa_v2
15,O que significa seguro saúde autofinanciado?,"Até recentemente, quando você ouvia o termo “seguro de saúde autofinanciado”, você poderia seguramente presumir que estava falando de um plano de seguro de saúde de grupo patrocinado pelo empregador, financiado inteiramente através de dólares do empregador/empregado ou uma combinação destes com algumas apólices de resseguro incluídas. No autofinanciamento, o empregador assume o risco das despesas de saúde, total ou parcialmente -LRB- se estiver envolvido um resseguro -RRB-. Ao abrigo de acordos totalmente segurados, o empregador não corre mais riscos financeiros após o pagamento do prémio mensal. Ultimamente, tem havido uma tendência por parte de alguns meios de comunicação e do governo de usar o termo autofinanciamento ou autopagamento de forma intercambiável em relação à compra e propriedade de apólices de seguro saúde individuais. Por definição, mesmo depois da ACA, praticamente todos no mercado de seguros de saúde individuais são auto-pagadores em virtude do prémio mensal que pagam, mas não são auto-financiados porque transferiram todos os riscos após quaisquer franquias, co-pagamentos e co-seguros do plano para a sua seguradora em troca do seu prémio mensal.",geral,insurance_qa_v2
16,Quanto custa o seguro do locatário de um apartamento?,"Ótima pergunta! Infelizmente, é difícil responder sem mais informações. Onde você mora, o tamanho da sua família, o custo estimado de seus pertences, a idade e o tamanho do complexo de apartamentos, sua idade e até mesmo se você fuma são coisas que influenciam o custo do seguro. Eu recomendo que você procure várias empresas em sua área e procure a tarifa que melhor se adapta ao seu orçamento. -LRB- Como conselho, peça o ``valor de reposição'' quando fizer compras. -RRB- Qualquer dúvida adicional, entre em contato comigo. Obrigado por perguntar!",geral,insurance_qa_v2
17,O que é seguro de vida irrevogável para beneficiários?,"Beneficiário irrevogável do seguro de vida significa que o beneficiário da apólice não pode ser alterado sem o consentimento do beneficiário. Isto difere de um beneficiário revogável, onde o titular da apólice pode alterar o beneficiário a qualquer momento. Os beneficiários irrevogáveis ​​são por vezes utilizados em apólices que envolvem obrigações financeiras, como a utilização do seguro de vida para pagar um empréstimo ou para satisfazer um acordo de divórcio.",geral,insurance_qa_v2
18,O seguro saúde cobre cuidados com os olhos?,"Os cuidados oftalmológicos de rotina não são cobertos pelo seu plano de saúde. Testes de visão, lentes corretivas, etc. não são clinicamente necessários e, portanto, não estão cobertos. Lesões ou doenças oculares seriam uma despesa coberta. Tratamento de glaucoma, cirurgia de catarata e lentes corretivas após cirurgia de catarata seriam itens cobertos.",geral,insurance_qa_v2
19,O Zoloft é coberto pelo Medicare?,Zoloft é um medicamento prescrito e seria coberto por um plano independente de medicamentos prescritos da Parte D. Não seria coberto pelo Original Medicare -LRB- Partes A e B -RRB-. Você precisaria verificar o formulário do seu plano para ver se este medicamento específico está coberto e em que nível ele se enquadraria em -LRB-. O nível de prescrição determina o custo para a pessoa segurada -RRB-. Espero que as informações sejam úteis - sinta-se à vontade para entrar em contato comigo para obter ajuda e se tiver outras dúvidas. Muito obrigado.,geral,insurance_qa_v2
20,Qual é o melhor seguro de vida para obter?,"Isso depende de quais são as suas necessidades de seguro de vida. Se você é um jovem adulto que trabalha, considere um seguro temporário. Você pode obter mais cobertura de seguro por menos dinheiro. Se você for mais velho, tiver problemas de saúde ou tiver baixa renda, considere um seguro para despesas finais. Estas são apólices de seguro de vida menores, projetadas especificamente para cobrir apenas preparativos funerários, sepulturas, caixões, etc. O seguro de despesas finais é mais caro do que o seguro a prazo, mas ainda assim acessível na maioria dos casos.",geral,insurance_qa_v2
21,O seguro do locatário cobre hóspedes?,"Não estou claro sobre sua pergunta, mas se você quer dizer que você, como inquilino, convida missões para jantar e eles estão feridos, você pode ser responsabilizado e a política do locatário irá defendê-lo. Além disso, o hóspede pode ter alguma cobertura médica sob a parte médica do hóspede da apólice. No entanto, se um hóspede estiver visitando e disser, por exemplo, que seus itens foram roubados, não haverá cobertura para o hóspede. O hóspede é responsável por ter seu próprio seguro para isso.",geral,insurance_qa_v2
22,Como se tornar um agente de seguros de vida em Nova York?,"O primeiro passo ao considerar uma carreira em seguros e serviços financeiros é reunir-se com um agente ou gerente. Você deve considerar reunir-se com mais de uma organização, já que a posição inicial envolve muito treinamento, trabalho conjunto de vendas e orientação da agência em que você ingressa. A New York Life é uma ótima empresa, mas há muitas outras que também podem proporcionar a entrada em nossa profissão. Faça muitas perguntas para entender que tipo de suporte você pode esperar receber e tente entender a cultura específica daquela agência e da seguradora para garantir que ela esteja alinhada com seus valores e crenças.",geral,insurance_qa_v2
23,Quanto custa o seguro básico para locatários?,"Básico é um termo relativo e pode fazer muitas coisas para muitas pessoas. Na minha área, com a transportadora com quem trabalho, tenho visto uma política de locatários com base de dez mil dólares em torno de oito dólares por mês. Lembre-se de que cada operadora estabelece seus próprios padrões para cobertura básica e determina seu próprio modelo de preços para a cobertura que oferece. Contate um agente local em sua área para determinar a cobertura oferecida em sua área e o preço dessa cobertura.",geral,insurance_qa_v2
24,Preciso de prova de seguro para registrar um carro em Wisconsin?,"A partir de hoje, de acordo com o site do Departamento de Transportes de Wisconsin, não há exigência de apresentação de comprovante de seguro ao registrar um veículo. Lembre-se de que Wisconsin exige que todos os motoristas tenham uma apólice de seguro automóvel ativa com requisitos mínimos legais estaduais. PONTO. os requisitos podem mudar. Eu recomendaria confirmar os requisitos do D.O.T. site ou ligando para o D.O.T. escritório .",geral,insurance_qa_v2
25,O que significa seguro saúde HMO?,"HMO significa Organização de Maitência de Saúde. É a forma mais básica de atendimento gerenciado que se pode obter. Caracteriza-se por ter um PCP médico de cuidados primários a quem é confiada a implementação eficaz de processos de “gestão de utilização” -LRB- procedimentos de contenção de custos para fornecer cuidados médicos eficazes -RRB-. Aquele que tem uma apólice HMO é geralmente chamado de membro ou assinante e deve receber uma indicação do seu PCP antes de procurar tratamento especializado. Os planos de saúde também utilizam “redes” que limitam os custos, mas também podem limitar as escolhas quando se trata do que os médicos podem ver.",geral,insurance_qa_v2
26,O que é seguro de vida combinado?,"A Combined Insurance é uma empresa que comercializa coberturas de seguros de vida suplementares, além de outros tipos de apólices de seguros complementares. Eles são membros do Grupo de Empresas ACE. Seguro de vida combinado refere-se a um tipo de seguro de vida que combina outros benefícios em uma apólice. Por exemplo . Pode ser uma combinação de vida a termo e universal, ou adicionar benefícios do tipo cuidados de longo prazo a uma apólice de seguro de vida.",geral,insurance_qa_v2
27,Como funcionam as anuidades de aposentadoria?,"Existem dois planos de aposentadoria por anuidade: qualificados e não qualificados. As anuidades são projetadas e devem ser adquiridas, em última análise, como uma estratégia de renda para seus anos dourados. Os pagamentos de anuidades qualificados são totalmente tributáveis ​​​​às taxas normais de imposto de renda. As anuidades não qualificadas são tributadas como renda ordinária sobre o ganho da apólice, mas não sobre a base. Existem dois formatos de distribuição: saques e anuidades. A anuidade vitalícia credita a taxa de juros vigente e adiciona os créditos de mortalidade apropriados à renda vitalícia que você não pode sobreviver.",geral,insurance_qa_v2
28,Quanto custa o seguro saúde em Massachusetts?,"As taxas de seguro saúde para os principais planos médicos individuais variam muito. As taxas de prêmio são determinadas com base em vários fatores. Ao avaliar uma taxa adequada, os subscritores de seguros de saúde considerarão sua idade, sexo, código postal, desenho do plano e histórico médico. Alguns estados têm atualmente processos de classificação de “emissão garantida”, o que significa que uma transportadora deve emitir uma apólice independentemente da sua saúde. E alguns estados usam um guia de classificação da comunidade. As políticas avaliadas pela comunidade geralmente não incluem ajustes por idade ou sexo. Qualquer um desses requisitos de classificação pode fazer com que as taxas sejam consideravelmente mais altas do que em estados que não aplicam classificação comunitária ou emissão garantida. As taxas de emissão garantida estão entre as mais altas do país e não é incomum que os prêmios sejam 2x mais altos do que para um plano semelhante em uma área que não utiliza o processo de emissão garantida.",geral,insurance_qa_v2
29,Quanto custaria adicionar um carro ao seu seguro?,"Ótima pergunta, mas infelizmente devo dizer que depende. Cada carro em sua apólice será avaliado de acordo com quem o possui, usa e como o usa, bem como com as características específicas do próprio carro. Se você tem apenas um carro em sua apólice agora, ficará satisfeito em saber que a maioria das operadoras oferece um desconto para vários carros. A teoria é que você não pode dirigir os dois carros ao mesmo tempo. Muitos agentes e empresas podem criar cenários ""e se"" para definir o preço do seu carro adicional e, mesmo que não tenham essa capacidade, podem ajudá-lo a compreender as diferenças que podem existir entre diferentes marcas e modelos. Eu também sugiro que você verifique as informações do Instituto de Seguros para Segurança Rodoviária enquanto eles testam o carro em situações de acidente para entender como um tipo específico de veículo responderá.",geral,insurance_qa_v2
30,O seguro de vida é tributável federalmente?,"O seguro de vida é tributável federalmente se a soma dos rendimentos do seguro de vida mais o valor do patrimônio -LRB- Patrimônio Bruto -RRB- exceder as diretrizes do imposto predial federal. Este ano, US$ 5.250.000 estão isentos de impostos sobre heranças. Se o seu patrimônio for maior do que isso, você pode querer transferir a propriedade do seu seguro de vida para um Irrevogable Life Insurance Trust.",geral,insurance_qa_v2
31,O seguro de invalidez é realmente necessário?,"O seguro de invalidez não é necessário se você tiver economias suficientes para financiar seu estilo de vida. Muitas pessoas têm pagamentos de empréstimos estudantis, hipotecas, impostos sobre a propriedade e notas de carro, juntamente com despesas para alimentar e vestir suas famílias. Além disso, se o principal provedor estiver incapacitado, poderá haver despesas médicas adicionais. Se você puder pagar essas obrigações contínuas sem renda, então você realmente não precisa de uma apólice.",geral,insurance_qa_v2
32,O que é evidência de segurabilidade para seguro de vida?,"A evidência de segurabilidade é a prova de que você pode ser segurado por uma seguradora de vida. Algumas apólices não exigem qualquer evidência de segurabilidade. Estas podem ser apólices de grupo oferecidas através do trabalho ou apólices de seguro de vida com emissão garantida. Outras políticas podem exigir perguntas médicas respondidas na inscrição, um exame parametrizado, registros médicos e/ou entrevista por telefone.",geral,insurance_qa_v2
33,Em que se baseiam as taxas de seguro residencial?,"As taxas de seguro residencial são baseadas no `RISCO'! O risco inclui o valor de reconstrução da casa, a idade da casa, a localização geográfica da casa, os endossos adicionais exigidos pelo cliente e a franquia escolhida. O primeiro passo é calcular o valor de reconstrução, o passo seguinte é seleccionar os avales solicitados e a franquia e o terceiro passo é qualificar a casa antes de gerar a taxa associada. Muitas operadoras exigem que a casa esteja a uma certa distância de um corpo de bombeiros, hidrante e tenha recursos de proteção. Muitos transportadores não aceitam um lar onde residam certos animais conhecidos por terem um temperamento agressivo. Para uma cotação em AZ, CA, NV, você pode obter uma cotação em: WEBSITELINK Para outros estados, você pode encontrar um agente local para ajudá-lo com uma cotação!",geral,insurance_qa_v2
34,Você pode reivindicar osteopatia no Medicare?,"Sim, você pode solicitar osteopatia no Medicare. Um médico osteopata é tratado da mesma forma que um médico pelo Medicare. Aplicam-se as mesmas diretrizes para o Medicare Parte B e Parte C: os cuidados devem ser solicitados pelo médico conforme clinicamente necessário e você deve recorrer a um médico que participe do Medicare.",geral,insurance_qa_v2
35,Quando começou a Parte D do Medicare?,"O primeiro período de inscrições abertas do Medicare Parte D começou em 15 de novembro de 2005 e terminou em 15 de maio de 2006 . A Parte D do Medicare , também chamada de Benefício de Medicamentos Prescritos do Medicare , entrou em vigor em 1º de janeiro de 2006 . Você mesmo pode aderir ao Medicare Parte D três meses antes do seu 65º aniversário.",geral,insurance_qa_v2
36,Você pode deduzir prêmios de seguro contra câncer?,"Os prêmios de seguro contra câncer, juntamente com os prêmios de outros tipos de seguro, podem ser dedutíveis dependendo de como você declara seus impostos e de como a cobertura está sendo usada. Um contador ou a pessoa que cuida de seus impostos seria o melhor recurso para fornecer informações que expliquem suas opções de dedutibilidade.",geral,insurance_qa_v2
37,Quem faz o seguro de carro mais barato?,"Depende muito do estado. Descobri que ir on-line e obter cotações é a maneira mais fácil de obter preços. O mais importante é garantir que você seja muito preciso em suas respostas. Eu pessoalmente descobri que as principais operadoras fazem o melhor. Como Esurance, Progressive, Geico e Hartford Insurance. Geralmente você pode comprar a apólice on-line.",geral,insurance_qa_v2
38,Preciso de seguro em Connecticut para registrar um carro em Connecticut?,"A resposta simples é sim, você precisará apresentar prova de uma apólice de seguro automóvel emitida pela CT para registrar seu carro. A CT não se preocupa particularmente com a cobertura de compensação e colisão, mas sua financeira o fará. Ao adquirir o seu seguro CT, você receberá um Cartão de Identificação que atesta que você possui pelo menos o valor mínimo do seguro de Responsabilidade Civil exigido aqui, ou seja, $ 20.000 por pessoa, $ 40.000 por acidente por Lesões Corporais e $ 10.000 por danos materiais. Como eu disse, esse é o atual requisito mínimo previsto em lei. Converse com seu profissional de seguros sobre outras opções que irão protegê-lo mais plenamente.",geral,insurance_qa_v2
39,Posso ter várias apólices de seguro de vida?,"Sim, você pode ter políticas de vários prazos. Na verdade, às vezes usaremos políticas de múltiplos termos na estratégia de um cliente. Por exemplo, digamos que você queira US$ 500 mil enquanto os filhos moram em casa. E depois que eles se mudarem, você só quer US$ 300 mil por cerca de 20 anos depois. Portanto, se seus filhos se mudarem em, digamos, 10 anos, você poderá obter uma apólice de 10 anos por US$ 200 mil e uma apólice de 30 anos por US$ 300 mil. Isso dá a você US$ 500 mil enquanto as crianças estão em casa e depois cai para US$ 300 mil por mais 20 anos depois que eles saírem. E lembre-se, há uma taxa de apólice que você paga, que está incluída no prêmio. Algumas empresas cobrarão múltiplas taxas quando você usar uma estratégia como essa, ou como às vezes é chamada, uma estratégia de camadas. Se você quiser ver algum exemplo disso, sinta-se à vontade para entrar em contato comigo.",geral,insurance_qa_v2
40,O que significa totalmente investido em plano de aposentadoria?,"Quando o empregador contribui para o plano de previdência, normalmente estabelece um cronograma de aquisição de direitos. À medida que o empregado presta serviço, ele é progressivamente investido no plano de pensões e, em particular, nas contribuições feitas pelo empregador. Se o funcionário sair do plano antes de adquirir integralmente o direito, poderá sacar uma parte ou nada, dependendo do cronograma de aquisição. Totalmente adquirido significa que você possui 100% dos benefícios do plano de pensão.",geral,insurance_qa_v2
41,Com que idade você deve adquirir seguro de cuidados de longo prazo?,"Não existe uma idade perfeita para você adquirir um seguro de cuidados de longo prazo. Naturalmente, a taxa é mais baixa quando você é mais jovem. Naturalmente, você pagará prêmios por um longo período de tempo. No entanto, se você esperar muito tempo, poderá se tornar inseguro ou desenvolver uma condição médica séria que aumente substancialmente suas taxas. Mas já que você perguntou, como corretor que está no ramo há 32 anos, supondo que você possa pagar os prêmios, ter entre 45 e 55 anos é o ideal, mas esta é apenas uma resposta genérica. Cada situação é diferente.",geral,insurance_qa_v2
42,Onde comprar seguro para locatários online?,"Para residentes do Arizona, Califórnia e Nevada, o Seguro de Locatários Onlie está disponível no seguinte link: WEBSITELINK O Seguro de Locatários é uma forma valiosa de proteção não apenas para o seu Conteúdo Pessoal, mas também para o Seguro de Responsabilidade Civil que irá protegê-lo de uma ação legal movida contra você por negligência; essas reclamações podem ocorrer como resultado de uma reclamação de incêndio, danos por fumaça ou danos por água, onde o segurado é acusado de negligência na causa da reclamação e, portanto, de possíveis danos ao prédio e/ou outras unidades.",geral,insurance_qa_v2
43,Quanto devo pagar pelo seguro do locatário?,Quanto você deve pagar pelo seguro do locatário? Depende de onde você mora e do tipo de cobertura que deseja. US$ 100 por ano? Talvez . $ 300 por ano. Esse pode ser um valor competitivo também. Um corretor experiente pode comprar e comparar as melhores opções para você e economizar dinheiro! Existem muitas operadoras respeitáveis ​​que podem oferecer opções acessíveis que atendam ao seu orçamento.,geral,insurance_qa_v2
44,O que é seguro de vida de 10 anos?,"Essa é uma ótima pergunta! Uma apólice de dez anos é aquela que fornece o valor especificado de cobertura para os dez anos, conforme definido em sua apólice. No dia em que sua apólice expirar, você não terá mais cobertura e nenhum valor em dinheiro ou benefício para retirar dela. Você pode renovar sua apólice, mas o preço aumentará drasticamente. Normalmente, uma apólice como essa é para garantir contra perdas de curto prazo, como cobrir uma carreira universitária ou uma hipoteca, ou fornecer uma forma mais barata de seguro de vida quando o dinheiro está escasso. Se quiser mais detalhes, não hesite em entrar em contato comigo, ok? Obrigado por perguntar!",geral,insurance_qa_v2
45,O seguro de vida cobre despesas funerárias?,"O seguro de vida serve a muitos propósitos. O seguro de vida pode ser usado para saldar dívidas do patrimônio, repor receitas, cobrir despesas finais, incluindo contas médicas não pagas e despesas funerárias. No caso do seguro de vida para crianças -LRB- uma questão muito debatida -RRB- os rendimentos podem proporcionar uma almofada financeira para que os pais não tenham de voltar ao trabalho no dia seguinte, mas em vez disso tenham tempo para sofrer com dignidade. O seguro de vida também pode ser usado para substituir os serviços perdidos de um cônjuge que não trabalha. O mais importante é garantir que a apólice de seguro de vida esteja em vigor quando for necessária.",geral,insurance_qa_v2
46,A State Farm oferece seguro residencial?,"A State Farm subscreve seguros residenciais na maioria dos estados. Dependendo da localização da casa, das condições da casa, do tipo de casa e do tamanho da casa, pode haver restrições na apólice. Isto se aplicaria a todas as transportadoras, não apenas à State Farm. Se sua casa estiver localizada em uma área de mato, algumas operadoras podem não redigir uma apólice, outras operadoras podem cobrar um prêmio mais alto. Você deve entrar em contato com um agente em sua área e o agente poderá sentar-se e discutir em detalhes o que ele/ela pode fazer por você. Boa sorte !",geral,insurance_qa_v2
47,Posso mudar de seguradora residencial?,"Este é um ótimo tópico por uma razão peculiar. Muitas pessoas nos EUA forçaram a colocação de seguros. Esta é a empresa hipotecária que assume a responsabilidade de garantir a cobertura quando você, como proprietário do imóvel, não o fez. O principal problema é que os seguros de colocação forçada são geralmente muito caros e impostos aos consumidores menos instruídos. Assuma o controle de sua vida e compre seu seguro onde encontrar a cobertura certa pelo preço certo. Seja tão diligente na busca de um “bom negócio” no seguro residencial quanto seria no seguro automóvel. Existem variações substanciais nas coberturas de uma apólice residencial, muito mais do que em uma apólice de automóvel: aqui está o porquê: O seguro automóvel protege você em seu envolvimento com outras pessoas, portanto, a maior proteção é para danos, lesões corporais ou danos materiais que você causa a terceiros. Portanto, você está lidando com mais frequência com terceiros -LRB- a primeira parte é você, a segunda parte é a seguradora e o terceiro é aquele que você prejudica -RRB-. A Seção II de uma apólice residencial envolve responsabilidade de terceiros, mas a maioria das perdas de propriedade em geral são pagamentos iniciais da seguradora. Sua casa foi atingida por um tornado, sua seguradora tem que responder a você! portanto, observe as nuances das coberturas oferecidas pelas seguradoras. Eles são muitos: incluindo coisas como propriedade programada, backup de água e esgoto, extensão automática de limites de moradia, cobertura de leis e regulamentos, remediação de mofo e assim por diante. Se você não entender as coberturas oferecidas, peça ao seu agente um exemplo de como uma cobertura seria usada. Um consumidor educado é um consumidor melhor.",geral,insurance_qa_v2
48,Preciso me inscrever no Medicare?,"Você não precisa se inscrever no Medicare Parte A. Ele será concedido a você gratuitamente quando você completar 65 anos de idade, caso tenha pago impostos de seguridade social por 10 anos ou mais ou se qualificar de seu cônjuge que trabalha. A Parte B virá automaticamente se você estiver recebendo a segurança social quando completar 65 anos. Você pode cancelar a Parte B se ainda não precisar dela e tiver outra cobertura. Se você quiser a Parte C, terá que solicitá-la. Parte D para a qual você precisa se inscrever.",geral,insurance_qa_v2
49,Quando você precisa fazer um seguro residencial?,"O Seguro Residencial será exigido pela sua Companhia Hipotecária para agendar o fechamento da venda. Alguns exigem que o prêmio do ano seguinte seja cobrado nos pagamentos mensais da hipoteca e mantidos em uma conta de garantia até o faturamento, outros não. Em todos os casos aqui em Connecticut, sua companhia hipotecária exigirá que você pague o prêmio integral do primeiro ano.",geral,insurance_qa_v2
